IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3
Justise Winslow;MIA;SF;20;6-6;185;USA;18;34.7;10.9;3.7;5.2;1.44;0.617;0.384;0.2
Jusuf Nurkic;DEN;C;22;6-7;225;USA;45;17.9;8;1.3;5.8;0.56;0.496;0.507;0
Karl-Anthony Towns;MIN;C;21;7-0;280;BiH;82;37;25.1;2.7;12.3;0.7;0.832;0.582;0.367
Kawhi Leonard;SAS;SF;25;7-0;244;USA;74;33.4;25.5;3.5;5.8;1.8;0.88;0.529;0.38
Kay Felder;CLE;PG;21;6-7;230;USA;42;9.2;4;1.4;1;0.43;0.714;0.404;0.318
Kelly Olynyk;BOS;C;25;5-9;176;USA;75;20.5;9;2;4.8;0.57;0.732;0.608;0.354
Kelly Oubre Jr.;WAS;SF;21;7-0;238;Canada;79;20.3;6.3;0.6;3.3;0.72;0.758;0.52;0.287
Kemba Walker;CHA;PG;26;6-7;205;USA;79;34.7;23.2;5.5;3.9;1.08;0.847;0.476;0.399
Kenneth Faried;DEN;PF;27;6-1;184;USA;61;21.2;9.6;0.9;7.6;0.7;0.693;0.556;0
Kent Bazemore;ATL;SF;27;6-8;228;USA;73;26.9;11;2.4;3.2;1.26;0.708;0.445;0.346
Kentavious Caldwell-;DET;SG;23;6-5;201;USA;76;33.3;13.8;2.5;3.3;1.18;0.832;0.442;0.35
Kevin Durant;GSW;SF;28;6-5;205;USA;62;33.4;25.1;4.8;8.3;1.06;0.875;0.608;0.375
Kevin Love;CLE;PF;28;6-9;240;USA;60;31.4;19;1.9;11.1;0.88;0.871;0.471;0.373
Kevin Seraphin;IND;PF;27;6-10;251;USA;49;11.4;4.7;0.5;2.9;0.14;0.636;0.556;0
Kevon Looney;GSW;C;20;6-10;278;France;53;8.4;2.5;0.5;2.3;0.26;0.618;0.551;0.222
Khris Middleton;MIL;SG;25;6-9;220;USA;29;30.7;14.7;3.4;4.2;1.41;0.88;0.459;0.433
KJ McDaniels;HOU;SF;23;6-8;234;USA;29;7.3;2.8;0.1;1;0.24;0.9;0.537;0.333
Klay Thompson;GSW;SG;26;6-6;205;USA;78;34;22.3;2.1;3.7;0.85;0.853;0.516;0.414
Kosta Koufos;SAC;C;27;6-7;215;USA;71;20;6.6;0.7;5.7;0.51;0.613;0.552;0
Kris Dunn;MIN;PG;22;7-0;265;USA;78;17.1;3.8;2.4;2.1;1;0.61;0.404;0.288
Kris Humphries;ATL;PF;31;6-4;205;USA;56;12.3;4.6;0.5;3.7;0.27;0.78;0.425;0.352
Kristaps Porzingis;NYK;PF;21;6-9;235;USA;66;32.8;18.1;1.5;7.2;0.71;0.786;0.493;0.357
Kyle Anderson;SAS;SG;23;7-3;240;Latvia;72;14.2;3.4;1.3;2.9;0.72;0.789;0.462;0.375
Kyle Korver;CLE;SG;35;6-9;230;USA;35;24.5;10.7;1;2.8;0.31;0.933;0.493;0.485
Kyle Lowry;TOR;PG;30;6-7;212;USA;60;37.4;22.4;7;4.8;1.48;0.819;0.518;0.412
Kyle O’Quinn;NYK;PF;26;6-0;205;USA;79;15.6;6.3;1.5;5.5;0.46;0.771;0.538;0.118
Kyle Singler;OKC;SF;28;6-10;250;USA;32;12;2.8;0.3;1.5;0.22;0.765;0.587;0.189
Kyrie Irving;CLE;PG;24;6-10;240;Canada;72;35.1;25.2;5.8;3.2;1.15;0.905;0.505;0.401
Lamar Patterson;ATL;SG;25;6-3;193;Australia;5;8.1;1.8;1.2;1.4;0.2;0.667;0.222;0.167
LaMarcus Aldridge;SAS;PF;31;6-5;225;USA;72;32.4;17.3;1.9;7.3;0.64;0.812;0.48;0.411
Lance Stephenson;IND;SG;26;6-11;260;USA;6;22;7.2;4.2;4;0.5;0.667;0.361;0.625
Lance Thomas;NYK;PF;28;6-5;230;USA;46;21;6;0.8;3.1;0.46;0.843;0.371;0.447
Langston Galloway;NOP;PG;25;6-8;235;USA;55;20.4;8.6;1.2;2.2;0.73;0.769;0.37;0.377
Larry Nance Jr.;LAL;PF;24;6-2;200;USA;63;22.9;7.1;1.5;5.9;1.3;0.738;0.552;0.278
Lavoy Allen;IND;PF;27;6-11;230;USA;61;14.3;2.9;0.9;3.6;0.3;0.697;0.461;0
Leandro Barbosa;PHX;SG;34;6-9;260;USA;67;14.4;6.3;1.2;1.6;0.46;0.889;0.466;0.357
LeBron James;CLE;SF;32;6-3;194;Brazil;74;37.8;26.4;8.7;8.7;1.23;0.674;0.611;0.363
Lou Williams;LAL;SG;30;6-8;250;USA;58;24.2;18.6;3.2;2.3;1.12;0.884;0.489;0.385
Luc Mbah a Moute;LAC;PF;30;6-1;175;USA;80;22.3;6.1;0.5;2.1;1.01;0.678;0.552;0.391
Lucas Nogueira;TOR;C;24;6-8;230;Cameroon;57;19.1;4.4;0.7;4.3;0.91;0.657;0.694;0.25
Luis Scola;BKN;PF;36;7-0;220;Brazil;36;12.8;5.1;1;3.9;0.39;0.676;0.535;0.34
Luke Babbitt;MIA;SF;27;6-9;241;Argentina;68;15.7;4.8;0.5;2.1;0.29;0.733;0.366;0.414
Luol Deng;LAL;SF;31;6-9;225;USA;56;26.5;7.6;1.3;5.3;0.86;0.73;0.435;0.309
Malachi Richardson;SAC;SG;21;6-9;220;United Kingdom;22;9;3.6;0.5;1;0.23;0.789;0.5;0.286
