IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3
PJ Tucker;PHX;SF;31;6-8;210;Germany;57;28.5;7;1.3;6;1.49;0.792;0.463;0.338
Quincy Acy;BKN;PF;26;5-10;180;USA;32;15.9;6.5;0.6;3.3;0.44;0.754;0.414;0.434
Quinn Cook;NOP;PG;23;6-7;240;USA;9;12.3;5.8;1.6;0.4;0.33;0.667;0.552;0.5
Rajon Rondo;CHI;PG;30;6-2;179;USA;69;26.7;7.8;6.7;5.1;1.43;0.6;0.418;0.376
Rakeem Christmas;IND;PF;25;6-1;186;USA;28;7.8;2.1;0.1;2;0.11;0.741;0.442;0
Ramon Sessions;CHA;PG;30;6-9;250;USA;50;16.2;6.2;2.6;1.5;0.52;0.771;0.393;0.339
Randy Foye;BKN;SG;33;6-3;190;USA;69;18.6;5.2;2;2.3;0.51;0.857;0.418;0.33
Rashad Vaughn;MIL;SG;20;6-4;218;USA;41;11.2;3.5;0.6;1.2;0.46;0.4;0.413;0.321
Raul Neto;UTA;PG;24;6-6;202;USA;40;8.6;2.5;0.9;0.8;0.53;0.889;0.517;0.323
Raymond Felton;LAC;PG;32;6-1;179;Brazil;80;21.2;6.7;2.4;2.7;0.83;0.781;0.473;0.319
Reggie Bullock;DET;SF;25;6-1;205;USA;31;15.1;4.5;0.9;2.1;0.58;0.714;0.473;0.384
Reggie Jackson;DET;PG;26;6-7;205;USA;52;27.4;14.5;5.2;2.2;0.67;0.868;0.442;0.359
Reggie Williams;NOP;SF;30;6-3;208;USA;6;13.3;4.5;0.7;1;0.5;0.857;0.25;0.455
Richard Jefferson;CLE;SF;36;6-6;205;USA;79;20.4;5.7;1;2.6;0.33;0.741;0.58;0.333
Richaun Holmes;PHI;C;23;6-7;233;USA;57;20.9;9.8;1;5.4;0.74;0.699;0.606;0.351
Ricky Rubio;MIN;PG;26;6-10;245;USA;75;32.9;11.1;9.1;4.1;1.71;0.891;0.443;0.306
Robert Covington;PHI;SF;26;6-5;185;USA;67;31.6;12.9;1.5;6.5;1.9;0.822;0.484;0.333
Robin Lopez;CHI;C;28;6-9;215;USA;81;28;10.4;1;6.4;0.22;0.721;0.494;0
Rodney Hood;UTA;SG;24;7-0;255;USA;59;27;12.7;1.6;3.4;0.64;0.783;0.441;0.371
Rodney McGruder;MIA;SG;25;6-8;206;USA;78;25.2;6.4;1.6;3.3;0.59;0.62;0.488;0.332
Rodney Stuckey;IND;PG;30;6-4;205;USA;39;17.9;7.2;2.2;2.2;0.41;0.748;0.391;0.317
Ron Baker;NYK;SG;23;6-5;205;USA;52;16.5;4.1;2.1;1.9;0.67;0.651;0.45;0.267
Rondae Hollis-Jeffer;BKN;SF;22;6-4;220;USA;78;22.6;8.7;2;5.8;1.05;0.751;0.463;0.224
Ronnie Price;PHX;PG;33;6-7;214;USA;14;9.6;1;1.3;0.8;0.79;0.75;0.143;0.176
Roy Hibbert;CHA;C;30;6-2;190;USA;42;16;5.2;0.5;3.6;0.19;0.813;0.542;0
Rudy Gay;SAC;SF;30;7-2;270;USA;30;33.8;18.7;2.8;6.3;1.47;0.855;0.483;0.372
Rudy Gobert;UTA;C;24;6-8;230;USA;81;33.9;14;1.2;12.8;0.6;0.653;0.662;0
