IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3;;;
Courtney Lee;NYK;SG;32;6-5;200;USA;76;30.4;12;2.4;2.9;1.05;0.919;0.482;0.406;;;
Cristiano Felicio;CHI;C;25;6-9;280;Brazil;55;17.8;5.6;1;4.2;0.29;0.667;0.596;0;;;
D.J. Augustin;ORL;PG;30;6-0;183;USA;75;23.5;10.2;3.8;2.1;0.71;0.868;0.485;0.419;;;
D.J. Wilson;MIL;PF;21;6-10;236;USA;22;3.2;1;0.1;0.5;0.14;0.5;0.636;0.4;;;
Dakari Johnson;OKC;C;22;7-0;255;USA;31;5.2;1.8;0.3;1.1;0.19;0.55;0.564;0;;;
Damian Jones;GSW;C;22;7-0;245;USA;15;5.9;1.7;0.1;0.9;0.07;0.6;0.5;0;;;
Damian Lillard;POR;PG;27;6-3;195;USA;73;36.6;26.9;6.6;4.5;1.05;0.916;0.501;0.361;;;
Damien Wilkins;IND;SG;38;6-6;217;USA;19;8;1.7;0.5;0.8;0.11;0.75;0.429;0.222;;;
Damion Lee;ATL;SG;25;6-6;210;USA;15;27;10.7;1.9;4.7;1.27;0.759;0.511;0.25;;;
Damyean Dotson;NYK;SG;23;6-5;210;USA;44;10.8;4.1;0.7;1.9;0.27;0.696;0.538;0.324;;;
D'Angelo Russell;BKN;PG;21;6-5;195;USA;48;25.7;15.5;5.2;3.9;0.75;0.74;0.477;0.324;;;
Daniel Hamilton;OKC;SG;22;6-7;195;USA;6;4.6;2;1.3;0.8;0.17;0;0.5;0.4;;;
Daniel Theis;BOS;PF;25;6-9;243;Germany;63;14.9;5.3;0.9;4.3;0.48;0.753;0.617;0.31;;;
Danilo Gallinari;LAC;SF;29;6-10;225;Italy;21;32;15.3;2;4.8;0.57;0.931;0.455;0.324;;;
Danny Green;SAS;SG;30;6-6;215;USA;70;25.6;8.6;1.6;3.6;0.9;0.769;0.419;0.363;;;
Dante Cunningham;BKN;SF;30;6-8;230;USA;51;21.9;5;0.5;3.8;0.53;0.556;0.547;0.324;;;
Dante Exum;UTA;PG;22;6-6;190;Australia;14;16.8;8.1;3.1;1.9;0.57;0.806;0.536;0.278;;;
Danuel House;PHX;SG;24;6-7;220;USA;23;17.5;6.6;1.1;3.3;0.3;0.806;0.577;0.259;;;
Dario Saric;PHI;PF;23;6-10;223;Croatia;78;29.6;14.6;2.6;6.7;0.65;0.86;0.501;0.393;;;
Darius Miller;NOP;SF;27;6-8;225;USA;82;23.7;7.8;1.4;2;0.34;0.866;0.535;0.411;;;
Darrell Arthur;DEN;PF;29;6-9;235;USA;19;7.4;2.8;0.5;0.8;0.42;0.667;0.583;0.348;;;
Darren Collison;IND;PG;30;6-2;185;USA;69;29.3;12.4;5.3;2.6;1.33;0.882;0.508;0.468;;;
Darrun Hilliard;SAS;SG;24;6-6;220;USA;14;6.8;1.1;0.8;0.5;0.14;0.857;0.385;0;;;
David Nwaba;CHI;PG;25;6-4;209;USA;70;23.5;7.9;1.5;4.7;0.84;0.655;0.496;0.346;;;
David Stockton;UTA;G;26;5-11;165;USA;3;3.1;3.3;0;0;0;1;0;0.667;;;
David West;GSW;PF;37;6-9;250;USA;73;13.7;6.8;1.9;3.3;0.64;0.759;0.576;0.375;;;
Davis Bertans;SAS;PF;25;6-10;210;Latvia;77;14.1;5.9;1;2;0.34;0.816;0.588;0.373;;;
Davon Reed;PHX;SG;22;6-6;210;USA;21;11.5;3;0.6;1.9;0.48;0.667;0.289;0.289;;;
De'Aaron Fox;SAC;PG;20;6-3;175;USA;73;27.7;11.6;4.4;2.8;0.96;0.723;0.436;0.307;;;
DeAndre' Bembry;ATL;SF;23;6-6;210;USA;26;17.5;5.2;1.9;2.8;0.81;0.576;0.429;0.367;;;
DeAndre Jordan;LAC;C;29;6-11;265;USA;77;31.5;12;1.5;15.2;0.51;0.58;0.645;0;;;
DeAndre Liggins;NOP;SG;29;6-6;209;USA;31;15.5;1.8;0.9;1.6;0.87;0.4;0.379;0.306;;;
Dejounte Murray;SAS;PG;21;6-5;170;USA;81;21.5;8.1;2.9;5.7;1.2;0.709;0.454;0.265;;;
Delon Wright;TOR;PG;25;6-5;190;USA;69;20.8;8;2.9;2.9;1.04;0.829;0.522;0.364;;;
DeMar DeRozan;TOR;SG;28;6-7;220;USA;80;33.9;23;5.2;3.9;1.06;0.825;0.494;0.31;;;
DeMarcus Cousins;NOP;C;27;6-11;270;USA;48;36.2;25.2;5.4;12.9;1.65;0.746;0.53;0.354;;;
DeMarre Carroll;BKN;SF;31;6-8;215;USA;73;29.9;13.5;2;6.6;0.81;0.764;0.457;0.371;;;
Demetrius Jackson;PHI;PG;23;6-1;201;USA;12;5.2;0.7;0.4;0.9;0.33;0;0.5;0;;;
Dennis Schroder;ATL;PG;24;6-1;172;Germany;67;31;19.4;6.2;3.1;1.07;0.849;0.48;0.29;;;
Dennis Smith Jr.;DAL;PG;20;6-3;195;USA;69;29.7;15.2;5.2;3.8;1.03;0.694;0.435;0.313;;;
Denzel Valentine;CHI;SG;24;6-6;214;USA;77;27.2;10.2;3.2;5.1;0.84;0.745;0.45;0.386;;;
