IGRALEC;EKIPA;POZICIJA;STAROST;VISINA;TEZA;DRZAVA;GP;MPG;PPG;APG;RPG;SPG;FT;2;3;;;
Rudy Gobert;UTA;C;25;7-1;245;France;56;32.4;13.5;1.4;10.7;0.79;0.682;0.622;0;;;
Russell Westbrook;OKC;PG;29;6-3;200;USA;80;36.4;25.4;10.3;10.1;1.84;0.737;0.485;0.298;;;
Ryan Anderson;HOU;PF;29;6-10;240;USA;66;26.1;9.3;0.9;5;0.36;0.774;0.539;0.386;;;
Ryan Arcidiacono;CHI;PG;23;6-3;195;USA;24;12.7;2;1.5;1;0.54;0.833;0.8;0.29;;;
Salah Mejri;DAL;C;31;7-2;235;Tunisia;61;11.9;3.5;0.6;4;0.36;0.576;0.657;0;;;
Sam Dekker;LAC;SF;23;6-9;230;USA;73;12.1;4.2;0.5;2.4;0.33;0.661;0.593;0.167;;;
Scotty Hopson;DAL;SG;28;6-7;204;USA;1;8.4;1;1;0;0;0.5;0;0;;;
Sean Kilpatrick;CHI;SG;28;6-4;212;USA;23;8.9;4;0.7;1.1;0.22;0.947;0.5;0.283;;;
Semi Ojeleye;BOS;PF;23;6-7;235;USA;73;15.8;2.7;0.3;2.2;0.29;0.61;0.397;0.32;;;
Serge Ibaka;TOR;PF;28;6-10;235;DR Congo;76;27.5;12.6;0.8;6.3;0.38;0.797;0.559;0.36;;;
Shabazz Muhammad;MIL;SF;25;6-6;221;USA;32;9.4;3.8;0.2;1.4;0.16;0.71;0.422;0.211;;;
Shabazz Napier;POR;PG;26;6-1;175;USA;74;20.8;8.7;2;2.3;1.09;0.841;0.45;0.376;;;
Shane Larkin;BOS;PG;25;5-11;175;USA;54;14.3;4.3;1.8;1.7;0.54;0.865;0.398;0.36;;;
Shaquille Harrison;PHX;PG;24;6-4;190;USA;23;16.7;6.6;2.4;2.7;1.13;0.737;0.541;0.231;;;
Shaun Livingston;GSW;PG;32;6-7;192;USA;71;15.9;5.5;2;1.8;0.49;0.82;0.509;0;;;
Shelvin Mack;ORL;PG;27;6-3;203;USA;69;19.8;6.9;3.9;2.4;0.78;0.711;0.473;0.345;;;
Sindarius Thornwell;LAC;SG;23;6-5;215;USA;73;15.8;3.9;0.9;1.9;0.66;0.67;0.448;0.377;;;
Skal Labissiere;SAC;PF;21;6-11;225;Haiti;60;20.7;8.7;1.2;4.8;0.42;0.805;0.459;0.353;;;
Solomon Hill;NOP;SF;26;6-7;225;USA;12;15.6;2.4;1.8;3;0.58;0.5;0.35;0.19;;;
Spencer Dinwiddie;BKN;PG;24;6-6;200;USA;80;28.8;12.6;6.6;3.2;0.86;0.813;0.452;0.326;;;
Stanley Johnson;DET;SF;21;6-7;245;USA;69;27.4;8.7;1.6;3.7;1.38;0.772;0.439;0.286;;;
Stephen Curry;GSW;PG;29;6-3;190;USA;51;32;26.4;6.1;5.1;1.57;0.921;0.595;0.423;;;
Sterling Brown;MIL;SG;22;6-6;230;USA;54;14.4;4;0.5;2.6;0.57;0.875;0.439;0.352;;;
Steven Adams;OKC;C;24;7-0;255;New Zealand;76;32.7;13.9;1.2;9;1.21;0.557;0.631;0;;;
T.J. McConnell;PHI;PG;25;6-2;190;USA;76;22.5;6.3;4;3;1.21;0.795;0.51;0.435;;;
Taj Gibson;PHX;PF;32;6-8;215;USA;82;33.2;12.2;1.2;7.1;0.76;0.768;0.595;0.2;;;
Tarik Black;MIN;C;26;6-9;235;USA;51;10.5;3.5;0.3;3.2;0.41;0.46;0.638;0.091;;;
Taurean Prince;HOU;SF;23;6-9;250;USA;82;30;14.1;2.6;4.7;1.04;0.844;0.461;0.385;;;
Terrance Ferguson;ATL;SG;19;6-8;220;USA;61;12.5;3.1;0.3;0.8;0.39;0.9;0.612;0.333;;;
Terrence Ross;OKC;SF;26;6-7;184;USA;24;25;8.7;1.6;3;1.13;0.75;0.469;0.323;;;
Terry Rozier;ORL;PG;23;6-7;206;USA;80;25.9;11.3;2.9;4.7;1;0.772;0.41;0.381;;;
Thabo Sefolosha;BOS;SF;33;6-2;190;USA;38;21.2;8.2;0.9;4.2;1.37;0.815;0.551;0.381;;;
Thaddeus Young;UTA;PF;29;6-7;220;Switzerland;81;32.2;11.8;1.9;6.3;1.67;0.598;0.531;0.32;;;
Thomas Bryant;IND;C;20;6-8;230;USA;15;4.8;1.5;0.4;1.1;0.07;0.556;0.636;0.1;;;
Thon Maker;LAL;PF;20;6-10;248;USA;74;16.7;4.8;0.6;3;0.51;0.699;0.467;0.298;;;
Tim Frazier;MIL;PG;27;7-1;223;South Sudan;59;14.2;3;3.3;1.9;0.8;0.767;0.44;0.304;;;
Tim Hardaway Jr.;WAS;SG;25;6-1;170;USA;57;33.1;17.5;2.7;3.9;1.11;0.816;0.516;0.317;;;
Tim Quarterman;NYK;SG;23;6-6;205;USA;3;4.2;1.3;0.3;1;0;1;1;0;;;
Timofey Mozgov;HOU;C;31;6-6;190;USA;31;11.6;4.2;0.4;3.2;0.16;0.767;0.64;0.222;;;
Timothe Luwawu-Cabarrot;BKN;SF;22;7-1;275;Russia;52;15.5;5.8;1;1.4;0.23;0.793;0.431;0.335;;;
TJ Leaf;PHI;PF;20;6-6;200;France;53;8.7;2.9;0.2;1.5;0.09;0.625;0.489;0.429;;;
TJ Warren;IND;SF;24;6-10;230;USA;65;33;19.6;1.3;5.1;1;0.757;0.523;0.222;;;
Tobias Harris;LAC;PF;25;6-9;235;USA;48;32.6;18.1;2;5.1;0.71;0.846;0.478;0.409;;;
Tomas Satoransky;WAS;SG;26;6-7;210;Czech Republic;73;22.5;7.2;3.9;3.2;0.7;0.781;0.544;0.465;;;
Tony Allen;NOP;SG;36;6-4;213;USA;22;12.4;4.7;0.4;2.1;0.5;0.524;0.506;0.333;;;
Tony Bradley;UTA;C;20;6-10;248;USA;9;3.2;0.9;0.1;1.2;0;1;0.3;0;;;
Tony Parker;SAS;PG;35;6-2;185;France;55;19.5;7.7;3.5;1.7;0.51;0.705;0.479;0.27;;;
Tony Snell;MIL;SF;26;6-7;221;USA;75;27.4;6.9;1.3;1.9;0.63;0.792;0.49;0.403;;;
Torrey Craig;DEN;SG;27;6-6;215;USA;39;16.7;4.2;0.6;3.3;0.31;0.629;0.57;0.293;;;
Travis Wear;LAL;SF;27;6-10;225;USA;17;13.4;4.4;0.4;2.2;0.24;1;0.32;0.362;;;
Treveon Graham;CHA;SG;24;6-5;219;USA;63;16.7;4.3;0.9;1.9;0.52;0.695;0.452;0.412;;;
Trevor Ariza;HOU;SF;32;6-8;215;USA;67;33.9;11.7;1.6;4.4;1.46;0.854;0.519;0.368;;;
Trevor Booker;IND;PF;30;6-8;228;USA;33;15;4.7;0.8;3.7;0.48;0.821;0.578;0.286;;;
Trey Burke;NYK;PG;25;6-1;191;USA;36;21.8;12.8;4.7;2;0.67;0.649;0.556;0.362;;;
Trey Lyles;DEN;PF;22;6-10;234;USA;73;19.1;9.9;1.2;4.8;0.41;0.697;0.563;0.381;;;
Trey McKinney-Jones;IND;SG;27;6-5;220;USA;1;1.2;0;0;0;0;0;0;0;;;
Tristan Thompson;CLE;C;26;6-9;238;Canada;53;20.2;5.8;0.6;6.6;0.3;0.544;0.562;0;;;
Troy Daniels;PHX;SG;26;6-4;205;USA;79;20.5;8.9;0.6;1.6;0.33;0.875;0.419;0.4;;;
Troy Williams;NYK;SF;23;6-7;218;USA;17;17.1;7.5;0.9;3.5;1.12;0.704;0.567;0.333;;;
Tyler Cavanaugh;ATL;PF;23;6-9;238;USA;39;13.3;4.7;0.7;3.3;0.23;0.81;0.556;0.36;;;
Tyler Dorsey;ATL;SG;21;6-5;183;USA;56;17.4;7.2;1.4;2.3;0.3;0.714;0.393;0.36;;;
Tyler Ennis;LAL;PG;23;6-3;194;Canada;54;12.7;4.1;1.9;1.8;0.56;0.759;0.476;0.25;;;
Tyler Johnson;MIA;SG;25;6-4;190;USA;72;28.5;11.7;2.3;3.4;0.83;0.822;0.491;0.367;;;
Tyler Lydon;DEN;PF;21;6-9;220;USA;1;2.2;0;0;0;0;0;0;0;;;
Tyler Ulis;PHX;PG;22;5-10;160;USA;71;23.4;7.8;4.4;1.8;0.99;0.832;0.425;0.288;;;
Tyler Zeller;MIL;C;28;7-0;250;USA;42;16.7;7.1;0.7;4.6;0.19;0.667;0.567;0.385;;;
Tyreke Evans;MEM;SF;28;6-6;220;USA;52;30.9;19.4;5.2;5.1;1.1;0.785;0.482;0.399;;;
Tyrone Wallace;LAC;SG;23;6-5;198;USA;30;28.4;9.7;2.4;3.5;0.9;0.782;0.483;0.25;;;
Tyson Chandler;PHX;C;35;7-1;240;USA;46;25;6.5;1.2;9.1;0.35;0.617;0.647;0;;;
Tyus Jones;MIN;PG;21;6-2;184;USA;82;17.9;5.1;2.8;1.6;1.16;0.877;0.528;0.349;;;
Udonis Haslem;MIA;PF;37;6-8;235;USA;14;5.1;0.6;0.4;0.7;0;0.5;0.286;0.125;;;
Vander Blue;LAL;G;25;6-5;200;USA;5;9;0.6;0.6;0.2;0.2;0.5;0.333;0;;;
Victor Oladipo;IND;SG;25;6-4;210;USA;75;34;23.1;4.3;5.2;2.35;0.799;0.528;0.371;;;
Vince Carter;SAC;SG;41;6-6;220;USA;58;17.7;5.4;1.2;2.6;0.72;0.757;0.483;0.345;;;
Vincent Hunter;MEM;SF;23;6-8;208;USA;4;1.9;1.5;0;0.8;0;0;0.6;0;;;
Wade Baldwin IV;POR;PG;21;6-4;202;USA;7;11.5;5.4;0.7;1.1;0.29;0.6;0.625;0.8;;;
Walter Lemon Jr.;NOP;PG;25;6-3;180;USA;5;7;3.4;1;0.4;0;0.667;0.4;1;;;
Wayne Ellington;MIA;SG;30;6-5;200;USA;77;26.5;11.2;1;2.8;0.69;0.859;0.479;0.392;;;
Wayne Selden;MEM;G;23;6-5;230;USA;35;19.8;9.3;1.9;1.6;0.51;0.746;0.456;0.402;;;
Wes Iwundu;ORL;SG;23;6-7;195;USA;62;16.5;3.7;0.9;2.2;0.53;0.723;0.488;0.196;;;
Wesley Johnson;LAC;SF;30;6-7;215;USA;74;20.1;5.4;0.8;2.9;1.03;0.741;0.471;0.339;;;
Wesley Matthews;DAL;SG;31;6-5;220;USA;63;33.8;12.7;2.7;3.1;1.21;0.822;0.441;0.381;;;
Will Barton;DEN;SG;27;6-6;190;USA;81;33.1;15.7;4.1;5;1.01;0.805;0.51;0.37;;;
Willie Cauley-Stein;SAC;C;24;7-0;240;USA;73;28;12.8;2.4;7;1.05;0.619;0.507;0.25;;;
Willie Reed;LAC;PF;27;6-11;245;USA;39;10.7;4.9;0.2;3.1;0.23;0.582;0.669;0.5;;;
Willy Hernangomez;CHA;C;23;6-11;240;Spain;26;9;4.3;0.8;2.6;0.31;0.429;0.632;0.2;;;
Wilson Chandler;DEN;SF;30;6-9;225;USA;74;31.7;10;2.1;5.4;0.58;0.772;0.501;0.358;;;
Xavier Munford;MIL;PG;25;6-4;173;USA;6;3.5;0.5;0.7;0.2;0.17;0.5;0.25;0;;;
Xavier Rathan-Mayes;NYK;SG;23;6-4;208;Canada;5;23.6;5.8;3.6;1;1.2;0.444;0.393;0.071;;;
Xavier Silas;BOS;G;30;6-5;205;USA;2;3.8;0;0;1;0.5;0;0;0;;;
Yogi Ferrell;DAL;PG;24;6-0;180;USA;82;27.8;10.2;2.5;3;0.78;0.796;0.476;0.373;;;
Zach Collins;POR;C;20;7-0;230;USA;66;15.8;4.4;0.8;3.3;0.26;0.643;0.452;0.31;;;
Zach LaVine;CHI;SG;22;6-5;185;USA;24;27.3;16.7;3;4;1;0.813;0.405;0.341;;;
Zach Randolph;SAC;PF;36;6-9;250;USA;59;25.6;14.5;2.2;6.7;0.71;0.785;0.503;0.347;;;
Zaza Pachulia;GSW;C;33;6-11;270;Georgia;69;14.1;5.4;1.6;4.7;0.55;0.806;0.569;0;;;
Zhou Qi;HOU;PF;22;7-1;210;China;18;6.9;1.2;0.1;1.2;0.11;0.667;0.308;0.105;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
